Application,Application ID,Platform,Platform ID
The Orange Box,1440142434414755930,,
Crash Team Racing Nitro-Fueled,1440142451019874404,,
MLB The Show 19,1440142535275053136,,
Gacha Life,1440142544188215386,,
Just Dance 2020,1440142590350458880,,
NHL 20,1440142682939719752,,
Word Mesh,1440142695308853269,,
LEGO Star Wars II: The Original Trilogy,1440142708126515251,,
Resident Evil: Code - Veronica,1440142774694580304,,
Dragon Ball Xenoverse 2 Lite,1440142831246381116,,
Rush Rally 3,1440142941984260177,,
Onechanbara: Bikini Samurai Squad,1440142948707598467,,
Mobile Suit Gundam Extreme Vs. Maxiboost On,1440142998703968356,,
Core,1440143067234701362,,
Shadows,1440143098008174592,,
Star Wars: Tales from the Galaxy's Edge,1440143170120712302,,
Gran Turismo 7,1440143189372567552,,
Demon's Souls,1440143195718815854,,
Horizon Forbidden West,1440143201573929042,,
Astro's Playroom,1440143207139639441,,
Gacha Club,1440143350211674122,,
Dead Matter,1440143452326199358,,
Zuma's Revenge!,1440143540171702292,,
Jetpack Joyride,1440539272900776008,,
State of Survival,1440541000874590360,,
Tekken 6,1440541023641010337,,
Dungeon Crusher: Soul Hunters,1440541100048908333,,
Mega Zombie,1440541235977912431,,
You Suck at Parking,1440541435869794416,,
Antonball Deluxe,1440541519206420530,,
2Xtreme,1440541572776071328,,
Grand Theft Auto III: The Definitive Edition,1440541602861944842,,
Armored Core,1440541706742137025,,
Armored Core: Project Phantasma,1440541713327456427,,
Horizon Call of the Mountain,1440541722005213355,,
MementoMori,1440541730171519006,,
Railworks,1440541860228501537,,
Loki,1440541953388445716,,
Cast Away: The Oddysee,1440541963001532557,,
Chuzzle,1440542164130988174,,
CarX Drift Racing 2,1440900047138066574,,
Her Trees: The Puzzle House,1440901411444490281,,
Survivor.io,1441986972855046317,,
High Rise,1441987016110637227,,
Racing Master,1441987029339738162,,
The Dark Pictures: Switchback VR,1441987049212215436,,
Macabre,1441987192850485421,,
WBSC eBASEBALL: POWER PROS,1441987221275148338,,
Red Faction: Armageddon,1441987266842202233,,
Clone Hero,1441987286022619299,,
Vintage Story,1441987315235946546,,
Melon Sandbox,1441987352938680443,,
Geometry Dash Lite,1441987369736732792,,
echoshift,1441987440578396285,,
Tennis On-Court,1441987479077912718,,
Seven Knights Idle Adventure,1441987526230278315,,
Tower of God: New World,1441987547998847017,,
Puzzle Journey,1441987631687929966,,
UNDERTALE YELLOW,1441987860822491166,,
Open,1441987865901924464,,
CleanSheet,1441987974119161948,,
Air Force Special Ops: Nightfall,1441987983040315413,,
Halloween Puzzle,1441988017546854575,,
Supermarket Simulator Manager,1441988167153483807,,
Border Police: Contraband Simulator 2024,1441988190436331573,,
Grand Rush: Highway Car Traffic Racing Simulator,1441988223927713883,,
Vendetta Forever,1441988240964845598,,
Supermarket Simulator 2024,1441988382149312582,,
Dead Land: Polygon VR,1441988518908919849,,
Voices of the Void,1441988712010616844,,
YGO Omega,1441988718289354873,,
Gorilla Attack,1441988745665577001,,
Street Food Restaurant Owner,1441988757179076689,,
Hentai Shop Simulator,1441988763529117706,,
Days Gone Remastered,1441988823071457410,,
Kawaii Puzzle Quest,1441988831615123476,,
Crystal of Atlan,1441989172285014198,,
Pursuit Force: Extreme Justice,1441989278233133066,,
Tralalero Tralala Jumper,1441989653715484822,,
Cappuccino Assassino Shooter,1441989709176766596,,
Chimpanzini Bananini,1441989878752477224,,
Br Br Patapim,1441989882582007931,,
Blablublas Battle Royale Shooter,1441990243426369668,,
Mercenaries: Playground of Destruction,1441990287995179008,,
Beyond Good & Evil HD,1441990367825231882,,
Quake Arena Arcade,1441990375706464306,,
No Heroes Allowed!,1441990383205879930,,
Angry Birds 2,1441990393683251361,,
Rainbow Moon,1441990430148530258,,
Deadliest Warrior: Legends,1441990438872547498,,
Calculator,1441990453019803678,,
Toy Soldiers: Cold War,1441990460804432033,,
Silent Hill 4: The Room,1441990465674149919,,
Dropship: United Peace Force,1441990481809637507,,
Killer Is Dead,1441990528077004843,,
Angry Birds Friends,1441990560268288212,,
Syphon Filter: Dark Mirror,1441990690614808706,,
Clash of Clans,1441990808399253575,,
FarmVille 2: Country Escape,1441990830259699832,,
Fibbage,1441990862920876125,,
Candy Crush Soda Saga,1441991036334243901,,
Giana Sisters: Twisted Dreams - Director's Cut,1441991048674017402,,
Happy Dungeons,1441991218119704647,,
Star Wars: Galaxy of Heroes,1441991227485585559,,
Dragon City,1441991241620389999,,
Microsoft Mahjong,1441991250470371511,,
Microsoft Minesweeper,1441991324516749392,,
Back to the Future: The Game - 30th Anniversary Edition,1441991363523641485,,
Bike Mayhem 2,1441991414303948822,,
Cooking Fever,1441991538241437737,,
slither.io,1441991558936264755,,
Risk Urban Assault,1441991584425185460,,
Lies of Astaroth,1441991612703182889,,
Big City Stories,1441991622022660227,,
Global Agenda,1441991717682151514,,
Card Creator,1441991762473123950,,
Township,1441991772195786762,,
Slide N' Go,1441991800909856779,,
Phantom Dust,1441991881843146835,,
